id,manufacturer_id,alias,brand_name,narrative,status,abbreviation,quickbook_brand_id,brand_path,is_active,updated_by,updated_date
1053,443,Avo,Avo,NULL,active,AVO,8000029B-1470285428,avo,1,1,"2022-05-01 05:24:24"
1054,443,Baccarat,Baccarat,NULL,active,BAC,800002C8-1470285430,baccarat,1,1,"2022-12-23 04:37:42"
1055,640,Brickhouse,Brickhouse,NULL,active,BRI,800003E6-1470285449,brickhouse,1,98,"2022-12-20 16:18:08"
1056,701,"Cuban Rounds","Cuban Rounds",NULL,active,CUBAN,80000637-1470285488,cuban-rounds,1,59,"2023-07-02 18:29:29"
1057,439,"Don Mateo","Don Mateo",NULL,active,DONM,800006B3-1470285496,don-mateo,1,1,"2022-05-01 05:24:24"
1058,640,"Factory Throwouts","Factory Throwouts",NULL,active,FAC,80000B74-1470285579,factory-throwouts,1,98,"2023-01-02 18:46:30"
1059,485,Kristoff,Kristoff,"<p>Established in 2004 by Glen Case, Kristoff Cigars is Internationally known for producing some of the finest cigars in the industry. &nbsp;At Kristoff, the focus is on quality, consistency, and availability. &nbsp;The company uses only the highest quality double and triple fermented premium tobaccos from around the world, which are artfully blended to satisfy the palate of the most discriminating cigar aficionado.</p><p>Kristoff cigars are made using a centuries old bunching technique called “entubar”. &nbsp;This skillful bunching method creates a more firmly packed cigar which allows air to travel between all the leaves, carrying more aromatics and flavor to the palate. &nbsp;Every cigar is then individually draw tested to ensure a well-constructed cigar that delivers a perfect draw every time.</p>",active,KRI,80000BC6-1470285584,kristoff,1,98,"2022-12-23 11:21:04"
1060,439,"Mr B","Mr B",NULL,active,MRB,80000DFF-1470285623,mr-b,1,59,"2023-07-02 18:43:48"
1061,437,Muwat,Muwat,NULL,active,MUW,80000E17-1470285624,muwat,1,106,"2023-01-04 15:07:39"
1062,437,Larutan,Larutan,NULL,active,LAR,80000E83-1470285632,larutan,1,98,"2022-12-23 15:50:09"
1063,439,"Romeo y Julieta","Romeo y Julieta",NULL,active,ROME,8000124E-1470285701,romeo-y-julieta,1,124,"2023-02-01 10:38:31"
1064,443,"Room 101","Room 101",NULL,inactive,ROO,800012BA-1470285709,room-101,0,106,"2023-11-10 05:28:03"
1065,439,"Saint Luis Rey","Saint Luis Rey",NULL,active,SAI,80001313-1470285715,saint-luis-rey,1,1,"2022-05-01 05:24:24"
1066,608,"Spirit of Cuba","Spirit of Cuba",NULL,active,SPI,80001468-1470285740,spirit-of-cuba,1,59,"2023-07-02 18:13:11"
1067,437,"Herrera Esteli","Herrera Esteli","<p>Master Blender Willy Herrera is the man at the center of Drew Estate’s cigar blending operation since 2014. SInce then he has been the man behind some of the company’s most highly rated and sought after premium cigar selections, including the Herrera Esteli, Norteño, Undercrown Shade and Liga Privada, to name just a few.&nbsp;</p>",active,HER,80001969-1474927623,herrera-esteli,1,121,"2023-01-04 08:25:57"
1068,659,Fujima,Fujima,NULL,inactive,FUJ,800019E4-1476387061,fujima,0,106,"2023-11-10 05:28:03"
1069,659,Deezer,Deezer,NULL,active,DEE,800019E8-1476387967,deezer,1,98,"2022-12-17 14:03:05"
1070,478,"La Palina","La Palina",NULL,active,LAP,80001A58-1477674696,la-palina,1,98,"2022-06-07 17:10:04"
1071,693,"General Merchandise","General Merchandise",NULL,active,GEN,80001AEB-1481223422,general-merchandise,1,59,"2023-07-02 18:38:10"
