variety_id,alias,variety,variety_name,mfr_item,list_price,is_promo_item,promotion_code,measure,mfr_family,item_category_id,is_limited_edition,is_distributed,is_consignment,is_exclusive,brand_id,model_id,class_id,quickbook_variety_id,is_bo_available,is_active,is_online,status,abbreviation,updated_by,updated_date
25762,1400cc,1400cc,"Acid Blue 1400cc",NULL,120.14,0,NULL,Count,NULL,2,0,0,0,0,1164,8747,87,NULL,0,1,0,active,140,1,"2024-02-22 03:35:10"
25763,"Atom Maduro","Atom Maduro","Acid Gold Atom Maduro",NULL,135.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8750,87,8000005A-1470285392,NULL,1,NULL,active,ATO,1,"2023-11-10 05:19:12"
25764,Blondie,"Blondie Box (40)","Acid Blue Blondie Box (40)",NULL,136.14,0,NULL,Count,NULL,4,0,0,0,0,1164,8747,87,NULL,0,1,0,inactive,BLONDIE,105,"2023-11-10 05:19:12"
25765,"Blondie Belicoso","Blondie Belicoso","Acid Blue Blondie Belicoso",NULL,124.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8747,87,8000005C-1470285392,NULL,1,NULL,active,BLONDIEB,105,"2023-11-10 05:19:12"
25766,"Blondie Maduro","Blondie Maduro","Acid Blue Blondie Maduro",NULL,136.14,0,NULL,Count,NULL,2,0,0,0,0,1164,8747,87,NULL,0,1,0,active,BLONDIEM,1,"2024-02-22 06:08:00"
25767,"Blue Connecticut","Blue Connecticut","Acid Krush Classic Blue Connecticut",NULL,55.00,0,NULL,Count,NULL,4,0,0,0,0,1164,7460,87,NULL,0,1,0,inactive,BLUEC,148,"2023-11-10 05:19:12"
25768,C-Notes,C-Notes,"Acid Purple C-Notes",NULL,99.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8749,87,8000005F-1470285393,NULL,1,NULL,active,CNO,105,"2023-11-10 05:19:12"
25769,"Cold Infusion","Cold Infusion","Acid Gold Cold Infusion",NULL,124.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8750,87,80000061-1470285393,NULL,1,NULL,active,COLDI,1,"2023-11-10 05:19:12"
25770,"Collector's Tin","Collector's Tin","Acid Original Collector's Tin",NULL,46.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,7012,87,80000062-1470285393,NULL,1,NULL,active,COLLEC,60,"2023-11-10 05:19:12"
25771,"Deep Dish","Deep Dish","Acid Blue Deep Dish",NULL,145.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8747,87,80000063-1470285393,NULL,1,NULL,active,DEE,105,"2023-11-10 05:19:12"
25772,Earthiness,Earthiness,"Acid Gold Earthiness",NULL,103.89,0,NULL,Count,NULL,4,0,0,0,0,1164,8750,87,NULL,0,1,1,active,EAR,98,"2023-11-10 05:19:05"
25773,"Extra Ordinary Larry","Extra Ordinary Larry","Acid Purple Extra Ordinary Larry",NULL,74.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8749,87,80000065-1470285393,NULL,1,NULL,active,EXTRA,105,"2023-11-10 05:19:12"
25774,"Gold Sumatra","Gold Sumatra","Acid Krush Classic Gold Sumatra",NULL,55.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,7460,87,80000068-1470285393,NULL,1,NULL,active,GOLD,105,"2023-11-10 05:19:12"
25775,"Kuba Deluxe","Kuba Deluxe","Acid Blue Kuba Deluxe",NULL,70.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8747,87,8000006A-1470285393,NULL,1,NULL,active,KUBADE,105,"2023-11-10 05:19:12"
25776,"Kuba Grande","Kuba Grande","Acid Blue Kuba Grande",NULL,74.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8747,87,8000006B-1470285393,NULL,1,NULL,active,KUBAG,105,"2023-11-10 05:19:12"
25777,"Kuba Kuba","Kuba Kuba","Acid Blue Kuba Kuba",NULL,136.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8747,87,8000006C-1470285393,NULL,1,NULL,active,KUBAK,105,"2023-11-10 05:19:12"
25778,"Kuba Maduro","Kuba Maduro","Acid Blue Kuba Maduro",NULL,136.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8747,87,8000006D-1470285393,NULL,1,NULL,active,KUBAMA,105,"2023-11-10 05:19:12"
25779,Liquid,Liquid,"Acid Red Liquid",NULL,127.80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8748,87,8000006E-1470285393,NULL,1,NULL,active,LIQ,124,"2023-11-10 05:19:12"
25780,"Morado Maduro","Morado Maduro","Acid Krush Classic Morado Maduro",NULL,55.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,7460,87,80000070-1470285394,NULL,1,NULL,active,MOR,105,"2023-11-10 05:19:12"
25781,Nasty,Nasty,"Acid Red Nasty",NULL,103.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8748,87,80000071-1470285394,NULL,0,NULL,active,NAST,98,"2023-11-10 05:19:12"
25782,Nefasto,Nefasto,"Acid Red Nefasto",NULL,41.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8748,87,80000072-1470285394,NULL,0,NULL,active,NEF,59,"2023-11-10 05:19:12"
25783,One,One,"Acid Original One",NULL,130.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,7012,87,80000073-1470285394,NULL,1,NULL,active,ACI:ONE,1,"2023-11-10 05:19:12"
25784,"Red Cameroon","Red Cameroon","Acid Krush Classic Red Cameroon",NULL,55.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,7460,87,80000074-1470285394,NULL,1,NULL,active,REDC,105,"2023-11-10 05:19:12"
25785,Roam,Roam,"Acid Purple Roam",NULL,68.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8749,87,80000075-1470285394,NULL,1,NULL,active,ROAM,105,"2023-11-10 05:19:12"
25786,Toast,Toast,"Acid Gold Toast",NULL,137.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8750,87,80000076-1470285394,NULL,1,NULL,active,TOAS,1,"2023-11-10 05:19:12"
25787,Wafe,Wafe,"Acid Blue Wafe",NULL,82.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1164,8747,87,80000077-1470285394,NULL,1,NULL,active,WAF,1,"2023-11-10 05:19:12"
25788,Churchill,Churchill,"AJ Fernandez Enclave Habano Churchill",NULL,90.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1232,7147,87,80000082-1470285395,NULL,1,NULL,active,AJF:CHURCHILL,1,"2023-11-10 05:19:12"
25789,Robusto,Robusto,"AJ Fernandez Enclave Habano Robusto",NULL,80.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1232,7147,87,80000083-1470285395,NULL,1,NULL,active,AJF:ROBUSTO,1,"2023-11-10 05:19:12"
25790,Toro,Toro,"AJ Fernandez Enclave Habano Toro",NULL,85.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1232,7147,87,80000084-1470285395,NULL,1,NULL,active,AJF:TORO,1,"2023-11-10 05:19:12"
25791,Robusto,Robusto,"AJ Fernandez New World Connecticut Robusto",NULL,80.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1232,7150,87,80000085-1470285395,NULL,1,NULL,active,AJF:ROBUSTO,1,"2023-11-10 05:19:12"
25792,Toro,Toro,"AJ Fernandez New World Connecticut Toro",NULL,82.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1232,7150,87,80000086-1470285395,NULL,1,NULL,active,AJF:TORO,1,"2023-11-10 05:19:12"
25793,Toro,Toro,"AJ Fernandez New World Oscuro Toro",NULL,86.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1232,7151,87,80000087-1470285395,NULL,1,NULL,active,AJF:TORO,1,"2023-11-10 05:19:12"
25794,Robusto,Robusto,"AJ Fernandez New World Oscuro Robusto",NULL,84.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1232,7151,87,80000088-1470285395,NULL,1,NULL,active,AJF:ROBUSTO,1,"2023-11-10 05:19:12"
25795,Gordo,Gordo,"AJ Fernandez New World Oscuro Gordo",NULL,92.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1232,7151,87,80000089-1470285395,NULL,1,NULL,active,AJF:GORDO,1,"2023-11-10 05:19:12"
25796,Robusto,Robusto,"San Lotano Requiem Habano Robusto",NULL,85.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1249,7154,87,8000008A-1470285395,NULL,1,NULL,active,SANL:ROBUSTO,1,"2023-11-10 05:19:12"
25797,Toro,Toro,"San Lotano Requiem Habano Toro",NULL,90.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1249,7154,87,8000008B-1470285395,NULL,1,NULL,active,SANL:TORO,1,"2023-11-10 05:19:12"
25798,Apricot,Apricot,"Al Fakher 250g Apricot",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000C2-1470285399,NULL,0,NULL,active,APRIC,98,"2023-11-10 05:19:12"
25799,Banana,Banana,"Al Fakher 250g Banana",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000C3-1470285399,NULL,0,NULL,active,ALF:BANANA,98,"2023-11-10 05:19:12"
25800,Berry,Berry,"Al Fakher 250g Berry",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000C4-1470285399,NULL,0,NULL,active,BERR,98,"2023-11-10 05:19:12"
25801,Blueberry,Blueberry,"Al Fakher 250g Blueberry",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000C5-1470285399,NULL,0,NULL,active,ALF:BLUEBERRY,98,"2023-11-10 05:19:12"
25802,"Blueberry Mint","Blueberry Mint","Al Fakher 250g Blueberry Mint",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000C6-1470285399,NULL,0,NULL,active,BLUEBERRYM,98,"2023-11-10 05:19:12"
25803,"Bubble Gum","Bubble Gum","Al Fakher 250g Bubble Gum",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000C7-1470285399,NULL,0,NULL,active,BUBBL,98,"2023-11-10 05:19:12"
25804,"Caffe Latte","Caffe Latte","Al Fakher 250g Caffe Latte",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000C8-1470285399,NULL,0,NULL,active,CAFFE,98,"2023-11-10 05:19:12"
25805,Cappuccino,Cappuccino,"Al Fakher 250g Cappuccino",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000C9-1470285399,NULL,0,NULL,active,CAP,98,"2023-11-10 05:19:12"
25806,Cardamom,Cardamom,"Al Fakher 250g Cardamom",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000CA-1470285399,NULL,0,NULL,active,CARD,98,"2023-11-10 05:19:12"
25807,Cherry,Cherry,"Al Fakher 250g Cherry",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000CB-1470285399,NULL,0,NULL,active,CHE,98,"2023-11-10 05:19:12"
25808,"Cherry Mint","Cherry Mint","Al Fakher 250g Cherry Mint",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000CC-1470285399,NULL,0,NULL,active,CHERRYM,98,"2023-11-10 05:19:12"
25809,Chocolate,Chocolate,"Al Fakher 250g Chocolate",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000CD-1470285399,NULL,0,NULL,active,CHO,98,"2023-11-10 05:19:12"
25810,"Chocolate Mint","Chocolate Mint","Al Fakher 250g Chocolate Mint",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000CE-1470285399,NULL,0,NULL,active,CHOC,98,"2023-11-10 05:19:12"
25811,Cinnamon,Cinnamon,"Al Fakher 250g Cinnamon",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000CF-1470285399,NULL,0,NULL,active,CINN,98,"2023-11-10 05:19:12"
25812,"Citrus Mint","Citrus Mint","Al Fakher 250g Citrus Mint",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000D0-1470285399,NULL,0,NULL,active,CIT,98,"2023-11-10 05:19:12"
25813,Cocktail,Cocktail,"Al Fakher 250g Cocktail",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000D1-1470285400,NULL,0,NULL,active,COCK,98,"2023-11-10 05:19:12"
25814,Coconut,Coconut,"Al Fakher 250g Coconut",NULL,7.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384,7014,89,800000D2-1470285400,NULL,0,NULL,active,COCO,98,"2023-11-10 05:19:12"
