variety_gallery_id,variety_id,original_name,encrypted_name,file_path,width,height,size,default,for_web,order,status,updated_by,updated_date
53,37472,"DBL Amaretto Habano Corona Bundle_1.png",DBLF_AMA_HABC-1.png,uploads/variety_gallery/DBLF_AMA_HABC-1.png,594,1080,688882,0,1,0,active,97,"2022-05-03 13:36:50"
54,37474,"DBL Amaretto Habano Robusto Bundle_1 (1).png",DBLF_AMA_HABR-1.png,uploads/variety_gallery/DBLF_AMA_HABR-1.png,764,1080,799732,0,1,0,active,97,"2022-05-03 17:52:08"
55,39298,"DBL Amaretto Habano Toro Jar_1 (1).png",DBLF_AMA_DBLF:HABTOROJAR-1.png,uploads/variety_gallery/DBLF_AMA_DBLF:HABTOROJAR-1.png,882,1080,1097707,0,1,2,active,97,"2022-05-03 17:52:45"
56,39298,"DBL Bourbon Habano Toro Jar_3.png",DBLF_AMA_DBLF:HABTOROJAR-2.png,uploads/variety_gallery/DBLF_AMA_DBLF:HABTOROJAR-2.png,777,1080,1567382,0,1,1,active,97,"2022-05-03 17:53:07"
57,39298,"DBL Amaretto Habano Toro Jar_2 (1).png",DBLF_AMA_DBLF:HABTOROJAR-3.png,uploads/variety_gallery/DBLF_AMA_DBLF:HABTOROJAR-3.png,986,879,1152694,0,1,0,active,97,"2022-05-03 17:53:27"
58,39081,"DBL Banana Connecticut Toro Bundle_1.png",DBLF_BAN_DBLF:CONNTORO-1.png,uploads/variety_gallery/DBLF_BAN_DBLF:CONNTORO-1.png,723,1080,821613,0,1,0,active,97,"2022-05-03 17:53:45"
59,39297,"DBL Banana Habano Toro Jar_1.png",DBLF_BAN_DBLF:HABTOROJAR-1.png,uploads/variety_gallery/DBLF_BAN_DBLF:HABTOROJAR-1.png,813,1080,1134449,0,1,2,active,97,"2022-05-03 17:53:56"
60,39297,"DBL Banana Habano Toro Jar_2.png",DBLF_BAN_DBLF:HABTOROJAR-2.png,uploads/variety_gallery/DBLF_BAN_DBLF:HABTOROJAR-2.png,978,876,1162025,0,1,1,active,97,"2022-05-03 17:53:59"
61,39297,"DBL Bourbon Habano Toro Jar_3.png",DBLF_BAN_DBLF:HABTOROJAR-3.png,uploads/variety_gallery/DBLF_BAN_DBLF:HABTOROJAR-3.png,777,1080,1567382,0,1,0,active,97,"2022-05-03 17:54:05"
62,39078,"DBL Blueberry Connecticut Corona Bundle_1.png",DBLF_BLUEB_CONNC-1.png,uploads/variety_gallery/DBLF_BLUEB_CONNC-1.png,612,1080,707801,1,1,0,active,97,"2022-05-03 17:54:39"
63,39294,"DBL Blueberry Habano Toro Jar_1.png",DBLF_BLUEB_DBLF:HABTOROJAR-1.png,uploads/variety_gallery/DBLF_BLUEB_DBLF:HABTOROJAR-1.png,836,1080,1148283,0,1,2,active,97,"2022-05-03 17:54:49"
64,39294,"DBL Banana Habano Toro Jar_2.png",DBLF_BLUEB_DBLF:HABTOROJAR-2.png,uploads/variety_gallery/DBLF_BLUEB_DBLF:HABTOROJAR-2.png,978,876,1162025,0,1,1,active,97,"2022-05-03 17:54:52"
65,39294,"DBL Bourbon Habano Toro Jar_3.png",DBLF_BLUEB_DBLF:HABTOROJAR-3.png,uploads/variety_gallery/DBLF_BLUEB_DBLF:HABTOROJAR-3.png,777,1080,1567382,0,1,0,active,97,"2022-05-03 17:54:55"
66,37480,"DBL Bourbon Connecticut Toro Bundle_1.png",DBLF_BOUR_CONNTO-1.png,uploads/variety_gallery/DBLF_BOUR_CONNTO-1.png,720,1080,837324,0,1,0,active,97,"2022-05-03 17:55:18"
67,39302,"DBL Bourbon Habano Corona Bundle_1.png",DBLF_BOUR_DBLF:HABCORONA-1.png,uploads/variety_gallery/DBLF_BOUR_DBLF:HABCORONA-1.png,584,1080,819363,0,1,0,active,97,"2022-05-03 17:55:34"
68,37482,"DBL Bourbon Habano Gordo Bundle_1 (1).png",DBLF_BOUR_HABGORDO-1.png,uploads/variety_gallery/DBLF_BOUR_HABGORDO-1.png,780,1080,1113807,0,1,0,active,97,"2022-05-03 17:55:44"
69,39292,"DBL Bourbon Habano Toro Jar_1.png",DBLF_BOUR_DBLF:HABTOROJAR-1.png,uploads/variety_gallery/DBLF_BOUR_DBLF:HABTOROJAR-1.png,804,1080,1055572,0,1,2,active,97,"2022-05-03 17:55:57"
70,39292,"DBL Banana Habano Toro Jar_2.png",DBLF_BOUR_DBLF:HABTOROJAR-2.png,uploads/variety_gallery/DBLF_BOUR_DBLF:HABTOROJAR-2.png,978,876,1162025,0,1,1,active,97,"2022-05-03 17:55:59"
71,39292,"DBL Bourbon Habano Toro Jar_3.png",DBLF_BOUR_DBLF:HABTOROJAR-3.png,uploads/variety_gallery/DBLF_BOUR_DBLF:HABTOROJAR-3.png,777,1080,1567382,0,1,0,active,97,"2022-05-03 17:56:01"
72,37487,"DBl Cherry Habano Corona Bundle_1.png",DBLF_DBLF:CHERRY_HABCO-1.png,uploads/variety_gallery/DBLF_DBLF:CHERRY_HABCO-1.png,600,1080,825039,0,1,0,active,97,"2022-05-03 17:56:31"
73,39296,"DBL Cherry Habano Toro Jar_1.png",DBLF_DBLF:CHERRY_DBLF:HABTOROJAR-1.png,uploads/variety_gallery/DBLF_DBLF:CHERRY_DBLF:HABTOROJAR-1.png,814,1080,1126770,0,1,2,active,97,"2022-05-03 17:56:42"
74,39296,"DBL Banana Habano Toro Jar_2.png",DBLF_DBLF:CHERRY_DBLF:HABTOROJAR-2.png,uploads/variety_gallery/DBLF_DBLF:CHERRY_DBLF:HABTOROJAR-2.png,978,876,1162025,0,1,1,active,97,"2022-05-03 17:56:44"
75,39296,"DBL Bourbon Habano Toro Jar_3.png",DBLF_DBLF:CHERRY_DBLF:HABTOROJAR-3.png,uploads/variety_gallery/DBLF_DBLF:CHERRY_DBLF:HABTOROJAR-3.png,777,1080,1567382,0,1,0,active,97,"2022-05-03 17:56:46"
76,39293,"DBL ChocoMint Habano Toro Jar_1.png",DBLF_CHOCOM_DBLF:HABTOROJAR-1.png,uploads/variety_gallery/DBLF_CHOCOM_DBLF:HABTOROJAR-1.png,832,1080,1147488,0,1,2,active,97,"2022-05-03 17:57:08"
77,39293,"DBL Banana Habano Toro Jar_2.png",DBLF_CHOCOM_DBLF:HABTOROJAR-2.png,uploads/variety_gallery/DBLF_CHOCOM_DBLF:HABTOROJAR-2.png,978,876,1162025,0,1,1,active,97,"2022-05-03 17:57:11"
78,39293,"DBL Bourbon Habano Toro Jar_3.png",DBLF_CHOCOM_DBLF:HABTOROJAR-3.png,uploads/variety_gallery/DBLF_CHOCOM_DBLF:HABTOROJAR-3.png,777,1080,1567382,0,1,0,active,97,"2022-05-03 17:57:13"
79,39085,"DBL Coconut Connecticut Toro Bundle_1.png",DBLF_COCON_DBLF:CONNTORO-1.png,uploads/variety_gallery/DBLF_COCON_DBLF:CONNTORO-1.png,682,1080,800899,0,1,0,active,97,"2022-05-03 17:57:49"
80,39290,"DBL Coffee Habano Toro Jar_1.png",DBLF_COF_HABTOROJAR-1.png,uploads/variety_gallery/DBLF_COF_HABTOROJAR-1.png,850,1080,1156818,0,1,2,active,97,"2022-05-03 17:58:06"
81,39290,"DBL Banana Habano Toro Jar_2.png",DBLF_COF_HABTOROJAR-2.png,uploads/variety_gallery/DBLF_COF_HABTOROJAR-2.png,978,876,1162025,0,1,1,active,97,"2022-05-03 17:58:08"
82,39290,"DBL Bourbon Habano Toro Jar_3.png",DBLF_COF_HABTOROJAR-3.png,uploads/variety_gallery/DBLF_COF_HABTOROJAR-3.png,777,1080,1567382,0,1,0,active,97,"2022-05-03 17:58:10"
83,37526,"DBL Cognac (Hennessy) Habano Gordo Bundle_1.png",DBLF_COGNAC_HABG-1.png,uploads/variety_gallery/DBLF_COGNAC_HABG-1.png,765,1080,1060257,0,1,0,active,97,"2022-05-03 17:58:32"
84,37529,"DBL Cognac (Hennessy) Habano Robusto Bundle_1.png",DBLF_COGNAC_HABROBUS-1.png,uploads/variety_gallery/DBLF_COGNAC_HABROBUS-1.png,726,1051,769497,0,1,0,active,97,"2022-05-03 17:58:44"
85,39295,"DBL Cognac Habano Toro Jar_1.png",DBLF_COGNAC_DBLF:HABTOROJAR-1.png,uploads/variety_gallery/DBLF_COGNAC_DBLF:HABTOROJAR-1.png,853,1080,1097395,0,1,2,active,97,"2022-05-03 17:58:56"
86,39295,"DBL Bourbon Habano Toro Jar_3.png",DBLF_COGNAC_DBLF:HABTOROJAR-2.png,uploads/variety_gallery/DBLF_COGNAC_DBLF:HABTOROJAR-2.png,777,1080,1567382,0,1,1,active,97,"2022-05-03 17:58:58"
87,39295,"DBL Banana Habano Toro Jar_2.png",DBLF_COGNAC_DBLF:HABTOROJAR-3.png,uploads/variety_gallery/DBLF_COGNAC_DBLF:HABTOROJAR-3.png,978,876,1162025,0,1,0,active,97,"2022-05-03 17:59:00"
88,39080,"DBL Double Black Habano Corona Bundle_1.png",DBLF_DOUBLEB_DBLF:HABCORONA-1.png,uploads/variety_gallery/DBLF_DOUBLEB_DBLF:HABCORONA-1.png,548,1053,790432,0,1,0,active,97,"2022-05-03 17:59:35"
89,39088,"DBL Double Black Habano Toro Bundle_1.png",DBLF_DOUBLEB_DBLF:HABTORO-1.png,uploads/variety_gallery/DBLF_DOUBLEB_DBLF:HABTORO-1.png,688,1080,750975,0,1,0,active,97,"2022-05-03 18:00:35"
90,37524,"DBL Honey Habano Corona Bundle_1.png",DBLF_DBLF:HONEY_HABCORONA-1.png,uploads/variety_gallery/DBLF_DBLF:HONEY_HABCORONA-1.png,558,1080,736048,0,1,0,active,97,"2022-05-03 18:00:52"
91,37527,"DBL Honey Habano Gordo Bundle_1.png",DBLF_DBLF:HONEY_HABGO-1.png,uploads/variety_gallery/DBLF_DBLF:HONEY_HABGO-1.png,779,1080,934006,0,1,0,active,97,"2022-05-03 18:01:01"
92,37530,"DBL Honey Habano Robusto Bundle_1.png",DBLF_DBLF:HONEY_HABROBUST-1.png,uploads/variety_gallery/DBLF_DBLF:HONEY_HABROBUST-1.png,747,1080,933136,0,1,0,active,97,"2022-05-03 18:01:25"
93,39289,"DBL Honey Habano Toro Jar_1.png",DBLF_DBLF:HONEY_HABTOROJA-1.png,uploads/variety_gallery/DBLF_DBLF:HONEY_HABTOROJA-1.png,854,1080,1163749,0,1,2,active,97,"2022-05-03 18:01:33"
94,39289,"DBL Banana Habano Toro Jar_2.png",DBLF_DBLF:HONEY_HABTOROJA-2.png,uploads/variety_gallery/DBLF_DBLF:HONEY_HABTOROJA-2.png,978,876,1162025,0,1,1,active,97,"2022-05-03 18:01:37"
95,39289,"DBL Bourbon Habano Toro Jar_3.png",DBLF_DBLF:HONEY_HABTOROJA-3.png,uploads/variety_gallery/DBLF_DBLF:HONEY_HABTOROJA-3.png,777,1080,1567382,0,1,0,active,97,"2022-05-03 18:01:38"
96,39288,"DBL Irish Whiskey Habano Toro Jar_1.png",DBLF_IRI_HABTOROJ-1.png,uploads/variety_gallery/DBLF_IRI_HABTOROJ-1.png,848,1080,1120581,0,1,2,active,97,"2022-05-03 18:01:58"
97,39288,"DBL Bourbon Habano Toro Jar_3.png",DBLF_IRI_HABTOROJ-2.png,uploads/variety_gallery/DBLF_IRI_HABTOROJ-2.png,777,1080,1567382,0,1,1,active,97,"2022-05-03 18:01:59"
