model_id,alias,model_name,brand_id,class_id,narrative,status,abbreviation,quickbook_model_id,model_path,is_active,updated_by,updated_date
7012,Original,Original,1164,86,"<p>In 1999, &nbsp;Jonathan Drew the founder of Acid Cigars pioneered the little known technique of infusing aromas into cigar tobacco. The result of the Blue Labeled line of acid cigars became an “acquired taste” that grew into one of the country’s biggest sellers. the Blondie and Kuba Kuba became must have products in every cigar store. Their taste is totally unique and brought in a whole new group of smokers. As time passed, many cigar Aficionado “purists” came to enjoy this blend as a pleasant break from traditional smokes.&nbsp;</p>",active,ACI:ORIGINAL,80000058-1470285392,acid-original,1,105,"2023-02-01 10:29:03"
7013,Samplers,Samplers,1232,86,NULL,active,AJF:SAMPLERS,80000081-1470285395,aj-fernandez-samplers,1,98,"2022-12-20 13:20:43"
7014,250g,250g,1384,89,NULL,active,250,800000C1-1470285399,al-fakher-250g,1,98,"2023-03-14 09:55:05"
7015,50g,50g,1384,86,NULL,active,50G,800000FD-1470285402,al-fakher-50g,1,98,"2022-12-20 13:45:53"
7016,"Argelini 100g","Argelini 100g",1446,86,NULL,inactive,ARG,80000172-1470285409,argelini-argelini-100g,0,98,"2023-11-10 05:31:02"
7017,"Argelini 250g","Argelini 250g",1446,86,NULL,inactive,ARGE,80000193-1470285411,argelini-argelini-250g,0,98,"2023-11-10 05:31:02"
7018,"Argelini 750g","Argelini 750g",1446,86,NULL,inactive,ARGEL,800001B4-1470285413,argelini-argelini-750g,0,98,"2023-11-10 05:31:02"
7019,"Argelini Shot","Argelini Shot",1446,86,NULL,inactive,ARGELI,800001B6-1470285413,argelini-argelini-shot,0,98,"2023-11-10 05:31:02"
7020,Original,Original,1253,86,"<p>What can you say about Arturo Fuente Cigars? They truly make a style for every taste and pocketbook. This cedar wrapped little guy is one of benchmarks for perfectly consistent, mild-mellow smooth tastings cigars. The signature blend of Dominican fillers and binder encased in in a blond USA Grown Connecticut wrapper yields one of the most enjoyable flavors that has endured for decades. If youve had them, you know. If you havent, I envy you! Origin - Dominican Republic Filler - Dominican Binder - Dominican Wrapper Type - USA Connecticut Shade</p>",active,ART:ORIGINAL,800001C3-1470285414,arturo-fuente-original,1,124,"2023-05-01 11:46:31"
7021,Symmetry,Symmetry,1165,86,"<p>There’s a few reasons why 90 rated Ashtons have remained in the top ten for decades. They are made by the folks at Arturo Fuente. They are insanely consistent and remain one of the benchmarks for mild to mellow taste. If you’ve smoked them you know. If you haven’t, I envy you! The Symmetry edition was Ashton's first venture into adding Nicaraguan leaves with their traditional Dominican filler. The result has been several 94 ratings along with two placements in the top 25 category. This cigar was a real achievement. Not only did it offer a more complex robust taste, it retained Ashton's classic smoothness with a medium bodied flavor.&nbsp;</p><p>Origin - Dominican Republic / Filler - Dominican+Nicaraguan&nbsp;</p><p>Binder - Dominican / &nbsp;Wrapper Type - Ecuadorian Habano</p>",active,SYM,80000217-1470285419,ashton-symmetry,1,98,"2022-12-20 14:36:15"
7022,Connecticut,Connecticut,1113,86,"<p>Camacho is an old tried and true brand. It was a staple in most every cigar store. The odd thing was that only savvy smokers knew just how good the cigar actually was. Davidoff purchased the company some years back and spent a ton of money to repackage and relaunch the brand. Their efforts worked! Thousands of new smokers discovered what a great cigar Camacho is. The Connecticut blend listed here is a mild but extremely tasty blend! Origin - Honduras Filler - Dominican-Honduran Binder - Corojo Wrapper Type - Ecuador Connecticut</p>",active,CAM:CONNECTICUT,8000040B-1470285451,camacho-connecticut,1,98,"2022-12-20 16:48:48"
7023,Concert,Concert,1095,86,,inactive,CONC,8000043A-1470285454,cao-concert,0,1,"2023-11-10 05:31:02"
7024,Connecticut,Connecticut,1119,86,"When Altadis, the cigar giant thats brings us Monte Cristo, Romeo and Upmann….to name a few decided to create a value priced entry they didn’t take any shortcuts. These handmade sticks use Dominican tobaccos across the board with a bit of Honduran binder giving it a mild to medium bodied taste that’s smooth and mellow. The Connecticut Shade wrapper is a rarity in the budget friendly category. Enjoy!



Origin - Dominican Republic

Filler - Dominican-Honduran

Binder - Connecticut

Wrapper Type - Connecticut-Connecticut Broadleaf-Sumatra",active,CAS:CONNECTICUT,8000047C-1470285459,casa-de-garcia-connecticut,1,1,"2022-05-02 03:21:32"
7025,"Lunatic Maduro","Lunatic Maduro",1073,86,"<p>This third maduro variation of the Lunatic line is a slow burning bulldog of a stick! After the immediate onslaught of spice it settles down into a smooth, medium to full flavored cigar that's packed with complex and robust taste.&nbsp;</p><p>Filler - Nicaraguan &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Binder - Nicaraguan &nbsp; &nbsp; &nbsp; &nbsp; Wrapper - San Andres Maduro</p>",active,LUNATI,8000049A-1470285461,jfr-lunatic-maduro,1,98,"2022-12-22 17:40:46"
7026,"Chateau Real","Chateau Real",1440,86,NULL,inactive,CHAT,800004BA-1470285463,deleted-chateau-real,0,98,"2023-11-10 05:31:02"
7027,"Red Dot","Red Dot",1179,87,"<p>The Cohiba Red Dot edition was General Cigar's first offering of a non Cuban Dominican edition. This medium to slightly full bodied blend has been produced in a wide array of sizes, shapes and packaging for decades. With a Cameroon wrapper, Indonesian binder and Dominican fillers, this smooth smoking and balanced line has remained popular and in demand since its inception. The Churchill is a top pick!</p>",active,REDD,800005D5-1470285481,cohiba-red-dot,1,121,"2022-12-22 09:18:38"
7028,Original,Original,1261,87,NULL,active,COPA:ORIGINAL,800005F7-1470285484,copa-del-sol-original,1,98,"2022-08-16 09:44:17"
7029,"Cuban Segundos","Cuban Segundos",1440,86,NULL,inactive,CUB,8000063A-1470285488,deleted-cuban-segundos,0,1,"2023-11-10 05:31:02"
7030,"18 Double Connecticut","18 Double Connecticut",1183,86,"<p>Ok, I’m sticking my neck out here. I think this is one of the absolute best cigars you can buy for the price. Oddly enough, this edition has been flying under the radar for over 15 years. Since it’s been available, I’ve emphatically recommended it more times than I can remember. Davidoff acquired the Cusano brand many years ago and performed magic with the brand. All you need to know is that every component in these cigars has been seriously aged up to 18 years. The result of this true luxury blend is a spectacularly tasty, rich and flavorful mellow to medium flavored jewel with a great draw and a perfect burn. Try a five pack when we have them and see for yourself. Origin - Dominican Republic Filler - Dominican Binder - Dominican Wrapper Type - Connecticut Broadleaf</p>",active,18D,8000064B-1470285489,cusano-18-double-connecticut,1,124,"2023-02-08 13:50:30"
