item_gallery_id,item_id,original_name,encrypted_name,file_path,width,height,size,default,for_web,order,status,updated_by,updated_date
33,48668,"RM Connecticut_3.png",-1.png,uploads/item_gallery/-1.png,1240,695,245673,0,1,0,active,1,"2023-01-03 06:32:18"
34,48668,"RM Connecticut_6.png",-2.png,uploads/item_gallery/-2.png,1035,1230,1058737,1,1,2,active,1,"2023-01-03 06:32:18"
35,48668,"RM Connecticut_7.png",-3.png,uploads/item_gallery/-3.png,989,1337,2009477,0,1,1,active,1,"2023-01-03 06:32:18"
36,48669,"Rm Cigars Habano_3.png",-1.png,uploads/item_gallery/-1.png,1351,709,428129,0,1,1,active,97,"2022-06-21 10:23:41"
37,48669,"Rm Cigars Habano_6.png",-2.png,uploads/item_gallery/-2.png,689,835,510078,1,1,2,active,97,"2022-06-21 10:23:42"
38,48669,"Rm Cigars Habano_7.png",-3.png,uploads/item_gallery/-3.png,589,790,765806,0,1,0,active,97,"2022-06-21 10:23:43"
39,48670,"RM Caribe Maduro_3.png",-1.png,uploads/item_gallery/-1.png,961,545,238244,0,1,1,active,97,"2022-06-21 10:24:12"
40,48670,"RM Caribe Maduro_6.png",-2.png,uploads/item_gallery/-2.png,1043,1315,1164609,1,1,2,active,97,"2022-06-21 10:24:14"
41,48670,"RM Caribe Maduro_7.png",-3.png,uploads/item_gallery/-3.png,791,1093,1457484,0,1,0,active,97,"2022-06-21 10:24:15"
42,48671,"RM Caribe Sumatra_3.png",-1.png,uploads/item_gallery/-1.png,1285,727,341309,0,1,1,active,97,"2022-06-21 10:24:53"
43,48671,"RM Caribe Sumatra_6.png",-2.png,uploads/item_gallery/-2.png,1002,1250,1067863,1,1,2,active,97,"2022-06-21 10:24:54"
44,48671,"RM Caribe Sumatra_7.png",-3.png,uploads/item_gallery/-3.png,774,1061,1556491,0,1,0,active,97,"2022-06-21 10:24:56"
45,49683,"RM Nightstorm Maduro_3.png",-1.png,uploads/item_gallery/-1.png,1224,700,391236,0,1,1,active,97,"2023-07-19 04:40:28"
46,49683,"RM Nightstorm Maduro_6.png",-2.png,uploads/item_gallery/-2.png,1238,1218,1693644,1,1,2,active,97,"2023-07-19 04:40:28"
47,49683,"RM Nightstorm Maduro_7.png",-3.png,uploads/item_gallery/-3.png,761,824,1174406,0,1,0,active,97,"2023-07-19 04:40:28"
48,48516,"RM Caribe_3.png",-1.png,uploads/item_gallery/-1.png,1354,727,350153,0,1,1,active,97,"2022-06-21 10:26:21"
49,48516,"RM Caribe_6.png",-2.png,uploads/item_gallery/-2.png,948,1050,974075,1,1,2,active,97,"2022-06-21 10:26:22"
50,48516,"RM Caribe_7.png",-3.png,uploads/item_gallery/-3.png,644,817,919526,0,1,0,active,97,"2022-06-21 10:26:23"
51,48523,"RM Tigress Connecticut_3.png",-1.png,uploads/item_gallery/-1.png,1288,697,296620,0,1,1,active,97,"2022-06-21 10:27:13"
52,48523,"RM Tigress Connecticut_6.png",-2.png,uploads/item_gallery/-2.png,1093,1077,1266312,1,1,2,active,97,"2022-06-21 10:27:15"
53,48523,"RM Tigress Connecticut_7.png",-3.png,uploads/item_gallery/-3.png,844,1080,1391315,0,1,0,active,97,"2022-06-21 10:27:16"
54,38342,"Kristoff Brittania Churchill_3.png",-1.png,uploads/item_gallery/-1.png,1080,1080,687979,0,1,NULL,perged,97,"2022-06-30 17:32:18"
55,38342,"Kristoff Brittania Churchill_7.png",-2.png,uploads/item_gallery/-2.png,1080,1080,725979,0,1,NULL,perged,97,"2022-06-30 17:32:20"
56,38342,"Kristoff Brittania Churchill_6.png",-3.png,uploads/item_gallery/-3.png,1080,1080,778763,1,1,NULL,perged,97,"2022-06-30 17:32:21"
57,47704,"AJ Fernandez Enclave Connecticut Robusto_3.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,1008090,1,1,0,active,124,"2022-07-16 14:56:33"
58,47704,"AJ Fernandez Enclave Connecticut Robusto_5.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,306087,0,0,NULL,perged,124,"2022-07-16 14:56:46"
59,47704,"AJ Fernandez Enclave Connecticut Robusto_2.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1102309,0,0,NULL,perged,124,"2022-07-16 14:56:46"
60,47704,"AJ Fernandez Enclave Connecticut Robusto_3.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,1008090,0,0,NULL,perged,124,"2022-07-16 14:56:46"
61,47704,"AJ Fernandez Enclave Connecticut Robusto_1.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1411628,0,1,1,active,124,"2022-07-16 14:56:46"
62,47704,"AJ Fernandez Enclave Connecticut Robusto_4.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,1206658,0,1,3,active,124,"2022-07-16 14:56:46"
63,47704,"AJ Fernandez Enclave Connecticut Robusto_3.jpg",-7.jpg,uploads/item_gallery/-7.jpg,1080,1080,1008090,0,1,2,active,124,"2022-07-16 14:57:21"
64,44834,"Black Forest Churchills_6.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,792151,0,0,0,active,124,"2022-08-02 16:47:43"
65,44834,"Black Forest Churchills_7.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1001637,0,0,NULL,perged,124,"2022-08-02 16:47:58"
66,44834,"Black Forest Churchills_3.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,405445,0,0,NULL,perged,124,"2022-08-02 16:47:58"
67,44834,"Black Forest Churchills_2.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,400783,0,0,NULL,perged,124,"2022-08-02 16:47:58"
68,44834,"Black Forest Churchills_6.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,792151,0,0,NULL,perged,124,"2022-08-02 16:47:58"
69,44834,"Black Forest Churchills_5.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,755567,0,0,2,active,124,"2022-08-02 16:47:58"
